Ep 2280	Last score: 54.50	Moving average score: 486.58
Ep 2290	Last score: 261.91	Moving average score: 484.26
Ep 2300	Last score: 594.34	Moving average score: 467.39
Ep 2310	Last score: 863.05	Moving average score: 470.49
Ep 2320	Last score: 249.56	Moving average score: 478.71
Ep 2330	Last score: 283.04	Moving average score: 481.35
Ep 2340	Last score: 56.02	Moving average score: 482.91
Ep 2350	Last score: 894.70	Moving average score: 491.90
Ep 2360	Last score: 292.03	Moving average score: 486.16
Ep 2370	Last score: 872.57	Moving average score: 476.45
Ep 2380	Last score: 623.98	Moving average score: 504.20
Ep 2390	Last score: 761.95	Moving average score: 523.13
Ep 2400	Last score: 287.83	Moving average score: 534.68
Ep 2410	Last score: 859.83	Moving average score: 556.54
Ep 2420	Last score: 869.95	Moving average score: 564.87
Ep 2430	Last score: 784.41	Moving average score: 569.75
Ep 2440	Last score: 469.66	Moving average score: 559.27
Ep 2450	Last score: 876.11	Moving average score: 558.19
Ep 2460	Last score: 431.29	Moving average score: 560.29
Ep 2470	Last score: 665.82	Moving average score: 546.03
Ep 2480	Last score: 925.70	Moving average score: 543.23
Ep 2490	Last score: 856.16	Moving average score: 556.97
Ep 2500	Last score: 132.95	Moving average score: 556.15
Ep 2510	Last score: 36.19	Moving average score: 540.33
Ep 2520	Last score: 56.03	Moving average score: 543.37
Ep 2530	Last score: 888.11	Moving average score: 547.71
Ep 2540	Last score: 914.40	Moving average score: 547.99
Ep 2550	Last score: 741.31	Moving average score: 557.86
Ep 2560	Last score: 475.23	Moving average score: 544.75
Ep 2570	Last score: 42.26	Moving average score: 535.70
Ep 2580	Last score: 892.40	Moving average score: 534.98
Ep 2590	Last score: 822.73	Moving average score: 527.77
Ep 2600	Last score: 51.11	Moving average score: 516.95
Ep 2610	Last score: 847.62	Moving average score: 519.67
Ep 2620	Last score: 351.70	Moving average score: 497.71
Ep 2630	Last score: 887.51	Moving average score: 510.72
Ep 2640	Last score: 335.28	Moving average score: 518.93
Ep 2650	Last score: 853.11	Moving average score: 530.98
Ep 2660	Last score: 797.28	Moving average score: 533.77
Ep 2670	Last score: 593.47	Moving average score: 518.83
Ep 2680	Last score: 855.25	Moving average score: 522.62
Ep 2690	Last score: 284.60	Moving average score: 526.95
Ep 2700	Last score: 56.02	Moving average score: 519.31
Ep 2710	Last score: 875.53	Moving average score: 529.42
Ep 2720	Last score: 40.33	Moving average score: 520.61
Ep 2730	Last score: 26.83	Moving average score: 520.01
Ep 2740	Last score: 871.60	Moving average score: 517.41
Ep 2750	Last score: 343.95	Moving average score: 517.24
Ep 2760	Last score: 21.70	Moving average score: 523.74
Ep 2770	Last score: 502.50	Moving average score: 527.75
Ep 2780	Last score: 850.78	Moving average score: 528.11
Ep 2790	Last score: 445.64	Moving average score: 538.36
Ep 2800	Last score: 844.61	Moving average score: 547.07
Ep 2810	Last score: 869.52	Moving average score: 547.43
Ep 2820	Last score: 634.48	Moving average score: 547.66
Ep 2830	Last score: 865.94	Moving average score: 540.25
Ep 2840	Last score: 537.54	Moving average score: 546.16
Ep 2850	Last score: 867.77	Moving average score: 534.30
Ep 2860	Last score: 771.69	Moving average score: 528.62
Ep 2870	Last score: 56.06	Moving average score: 531.18
Ep 2880	Last score: 415.69	Moving average score: 528.51
Ep 2890	Last score: 796.04	Moving average score: 518.79
Ep 2900	Last score: 388.35	Moving average score: 514.99
Ep 2910	Last score: 292.91	Moving average score: 517.64
Ep 2920	Last score: 313.91	Moving average score: 503.24
Ep 2930	Last score: 337.34	Moving average score: 494.42
Ep 2940	Last score: 278.33	Moving average score: 509.10
Ep 2950	Last score: 442.15	Moving average score: 509.56
Ep 2960	Last score: 402.81	Moving average score: 504.51
Ep 2970	Last score: 292.03	Moving average score: 509.58
Ep 2980	Last score: 336.18	Moving average score: 506.09
Ep 2990	Last score: 56.05	Moving average score: 489.21
Ep 3000	Last score: 302.16	Moving average score: 479.39
Ep 3010	Last score: 688.43	Moving average score: 477.74
Ep 3020	Last score: 520.46	Moving average score: 462.91
Ep 3030	Last score: 376.26	Moving average score: 459.70
Ep 3040	Last score: 305.23	Moving average score: 459.48
Ep 3050	Last score: 805.91	Moving average score: 477.14
Ep 3060	Last score: 635.56	Moving average score: 478.03
Ep 3070	Last score: 437.43	Moving average score: 494.09
Ep 3080	Last score: 503.72	Moving average score: 487.24
Ep 3090	Last score: 666.83	Moving average score: 489.95
Ep 3100	Last score: 492.65	Moving average score: 491.18
Ep 3110	Last score: 447.64	Moving average score: 492.09
Ep 3120	Last score: 746.87	Moving average score: 504.57
Ep 3130	Last score: 810.28	Moving average score: 514.15
Ep 3140	Last score: 12.88	Moving average score: 516.88
Ep 3150	Last score: 56.01	Moving average score: 519.46
Ep 3160	Last score: 405.21	Moving average score: 516.28
Ep 3170	Last score: 325.09	Moving average score: 508.59
Ep 3180	Last score: 819.90	Moving average score: 527.58
Ep 3190	Last score: 335.06	Moving average score: 531.33
Ep 3200	Last score: 757.81	Moving average score: 540.12
Ep 3210	Last score: 512.63	Moving average score: 542.36
Ep 3220	Last score: 794.87	Moving average score: 548.13
Ep 3230	Last score: 786.28	Moving average score: 547.48
Ep 3240	Last score: 805.37	Moving average score: 540.90
Ep 3250	Last score: 300.66	Moving average score: 535.43
Ep 3260	Last score: 56.09	Moving average score: 527.86
Ep 3270	Last score: 822.69	Moving average score: 538.97
Ep 3280	Last score: 612.54	Moving average score: 522.15
Ep 3290	Last score: 783.81	Moving average score: 517.90
Ep 3300	Last score: 863.01	Moving average score: 515.27
Ep 3310	Last score: 671.31	Moving average score: 517.55
Ep 3320	Last score: 725.59	Moving average score: 514.71
Ep 3330	Last score: 802.21	Moving average score: 520.11
Ep 3340	Last score: 117.64	Moving average score: 508.90
Ep 3350	Last score: 566.81	Moving average score: 513.23
Ep 3360	Last score: 762.20	Moving average score: 498.03
Ep 3370	Last score: 794.85	Moving average score: 498.68
Ep 3380	Last score: 872.74	Moving average score: 484.00
Ep 3390	Last score: 56.08	Moving average score: 487.69
Ep 3400	Last score: 39.40	Moving average score: 496.98
Ep 3410	Last score: 15.17	Moving average score: 493.41
Ep 3420	Last score: 862.96	Moving average score: 482.09
Ep 3430	Last score: 46.74	Moving average score: 463.21
Ep 3440	Last score: 380.52	Moving average score: 481.75
Ep 3450	Last score: 324.28	Moving average score: 473.31
Ep 3460	Last score: 721.41	Moving average score: 489.86
Ep 3470	Last score: 398.31	Moving average score: 486.87
Ep 3480	Last score: 56.08	Moving average score: 481.51
Ep 3490	Last score: 874.10	Moving average score: 497.98
Ep 3500	Last score: 467.15	Moving average score: 506.00
Ep 3510	Last score: 9.87	Moving average score: 459.08
Ep 3520	Last score: 25.50	Moving average score: 417.30
Ep 3530	Last score: -26.88	Moving average score: 376.94
Ep 3540	Last score: 28.72	Moving average score: 340.91
Ep 3550	Last score: 18.39	Moving average score: 309.55
Ep 3560	Last score: -18.08	Moving average score: 279.90
Ep 3570	Last score: 13.19	Moving average score: 254.25
Ep 3580	Last score: -18.06	Moving average score: 229.43
Ep 3590	Last score: 15.10	Moving average score: 208.41
Ep 3600	Last score: -18.08	Moving average score: 192.82
Ep 3610	Last score: 13.08	Moving average score: 176.92
Ep 3620	Last score: 56.06	Moving average score: 169.78
Ep 3630	Last score: 13.63	Moving average score: 160.73
Ep 3640	Last score: 295.94	Moving average score: 153.92
Ep 3650	Last score: -18.00	Moving average score: 140.67
Ep 3660	Last score: 56.04	Moving average score: 132.19
Ep 3670	Last score: 12.14	Moving average score: 131.27
Ep 3680	Last score: 301.40	Moving average score: 129.06
Ep 3690	Last score: 417.33	Moving average score: 140.54
Ep 3700	Last score: 56.09	Moving average score: 153.94
Ep 3710	Last score: 56.08	Moving average score: 147.90
Ep 3720	Last score: 56.09	Moving average score: 149.32
Ep 3730	Last score: 807.13	Moving average score: 176.29
Ep 3740	Last score: 36.64	Moving average score: 172.33
Ep 3750	Last score: 653.73	Moving average score: 172.54
Ep 3760	Last score: 542.37	Moving average score: 189.32
Ep 3770	Last score: 294.74	Moving average score: 209.00
Ep 3780	Last score: 770.19	Moving average score: 222.08
Ep 3790	Last score: 28.73	Moving average score: 237.56
Ep 3800	Last score: 842.51	Moving average score: 253.44
Ep 3810	Last score: 531.51	Moving average score: 255.93
Ep 3820	Last score: 295.78	Moving average score: 266.29
Ep 3830	Last score: 289.64	Moving average score: 278.55
Ep 3840	Last score: 438.54	Moving average score: 276.52
Ep 3850	Last score: 56.05	Moving average score: 290.80
Ep 3860	Last score: 716.37	Moving average score: 308.31
Ep 3870	Last score: 42.42	Moving average score: 321.36
Ep 3880	Last score: 854.21	Moving average score: 322.58
Ep 3890	Last score: 353.51	Moving average score: 337.63
Ep 3900	Last score: 23.35	Moving average score: 332.88
Ep 3910	Last score: 10.03	Moving average score: 322.24
Ep 3920	Last score: 657.18	Moving average score: 334.08
Ep 3930	Last score: 47.87	Moving average score: 336.63
Ep 3940	Last score: 11.66	Moving average score: 351.88
Ep 3950	Last score: 671.82	Moving average score: 372.48
Ep 3960	Last score: 385.91	Moving average score: 375.45
Ep 3970	Last score: 781.91	Moving average score: 392.86
Ep 3980	Last score: 875.60	Moving average score: 402.29
Ep 3990	Last score: 870.50	Moving average score: 412.91
Ep 4000	Last score: 715.15	Moving average score: 419.37
Ep 4010	Last score: 547.89	Moving average score: 437.79
Ep 4020	Last score: 14.12	Moving average score: 451.18
Ep 4030	Last score: 636.40	Moving average score: 457.47
Ep 4040	Last score: 353.90	Moving average score: 456.81
Ep 4050	Last score: 345.97	Moving average score: 464.28
Ep 4060	Last score: 47.34	Moving average score: 445.35
Ep 4070	Last score: 356.60	Moving average score: 457.43
Ep 4080	Last score: 663.70	Moving average score: 471.30
Ep 4090	Last score: 26.83	Moving average score: 458.57
Ep 4100	Last score: 284.01	Moving average score: 468.36
Ep 4110	Last score: 843.48	Moving average score: 478.25
Ep 4120	Last score: 56.03	Moving average score: 472.55
Ep 4130	Last score: 845.12	Moving average score: 473.23
Ep 4140	Last score: 856.79	Moving average score: 477.96
Ep 4150	Last score: 778.39	Moving average score: 481.57
Ep 4160	Last score: 837.95	Moving average score: 486.81
Ep 4170	Last score: 677.63	Moving average score: 476.50
Ep 4180	Last score: 482.16	Moving average score: 473.61
Ep 4190	Last score: 722.95	Moving average score: 498.91
Ep 4200	Last score: 909.90	Moving average score: 498.04
Ep 4210	Last score: 396.08	Moving average score: 511.34
Ep 4220	Last score: 896.80	Moving average score: 527.24
Ep 4230	Last score: 863.10	Moving average score: 535.24
Ep 4240	Last score: 783.91	Moving average score: 538.19
Ep 4250	Last score: 854.36	Moving average score: 537.74
Ep 4260	Last score: 394.87	Moving average score: 540.66
Ep 4270	Last score: 699.95	Moving average score: 540.76
Ep 4280	Last score: 817.39	Moving average score: 548.83
Ep 4290	Last score: 56.03	Moving average score: 539.44
Ep 4300	Last score: 285.28	Moving average score: 538.94
Ep 4310	Last score: 884.51	Moving average score: 544.12
Ep 4320	Last score: 56.08	Moving average score: 532.98
Ep 4330	Last score: 362.12	Moving average score: 526.56
